1736781536.0916603,250
1736781539.870164,250
1736781543.792967,250
1736781547.0423465,250
1736781551.2178676,250
1736781554.9589875,250
1736781558.3742638,250
1736781561.6424794,250
1736781565.2988813,250
1736781569.6768663,250
1736781573.5067983,250
1736781576.651437,250
1736781580.0046692,250
1736781583.5497682,250
1736781587.3361847,250
1736781590.92365,250
1736781594.9884903,250
1736781598.4206805,250
1736781611.6594703,250
1736781625.8424094,250
1736781628.9900768,250
1736781632.8207104,250
1736781636.0011227,250
1736781639.5321245,250
1736781643.0539055,250
1736781646.2382805,250
1736781649.5897691,250
1736781653.2544081,250
1736781656.628123,250
1736781659.91365,250
1736781663.5523386,250
1736781666.9604218,250
1736781670.4352021,250
1736781674.1456368,250
1736781677.5526726,250
1736781681.2241585,250
1736781684.9041817,250
1736781688.6010098,250
1736781691.827584,250
1736781695.2774222,250
