,timestamp,value
0,1736781517.083051,1
1,1736781525.8537006,1
2,1736781525.8860688,1
3,1736781525.918387,1
4,1736781525.95081,1
5,1736781525.98328,1
6,1736781526.015782,1
7,1736781526.048301,1
8,1736781526.079568,1
9,1736781526.11187,1
10,1736781526.1442547,1
11,1736781526.176567,1
12,1736781526.208983,1
13,1736781526.2413552,1
14,1736781526.2736704,1
15,1736781526.3059862,1
16,1736781526.3383176,1
17,1736781526.3706484,1
18,1736781526.403039,1
19,1736781526.435369,1
20,1736781526.4676597,1
21,1736781526.498987,1
22,1736781526.5313566,1
23,1736781526.5642269,1
24,1736781526.5964854,1
25,1736781526.6291988,1
26,1736781526.6608648,1
27,1736781526.6936817,1
28,1736781526.7251325,1
29,1736781526.7577908,1
30,1736781526.7904413,1
31,1736781526.8219566,1
32,1736781526.8549464,1
33,1736781526.886864,1
34,1736781526.9193976,1
35,1736781526.9517004,1
36,1736781526.9840574,1
37,1736781527.015391,1
38,1736781527.0479336,1
39,1736781527.0810578,1
40,1736781527.1124136,1
41,1736781527.144797,1
42,1736781527.177168,1
43,1736781527.2096078,1
44,1736781527.2420108,1
45,1736781527.2745037,1
46,1736781527.3068838,1
47,1736781527.3381734,1
48,1736781527.370715,1
49,1736781527.4031076,1
50,1736781527.4355989,1
51,1736781527.468078,1
52,1736781527.5005112,1
53,1736781527.5317695,1
54,1736781527.564292,1
55,1736781527.5967293,1
56,1736781527.6290612,1
57,1736781527.6614132,1
58,1736781527.6940205,1
59,1736781527.7253158,1
60,1736781527.757614,1
61,1736781527.7899203,1
62,1736781527.8222106,1
63,1736781527.854905,1
64,1736781527.8878386,1
65,1736781527.9197693,1
66,1736781527.9512734,1
67,1736781527.9838438,1
68,1736781528.0163894,1
69,1736781528.0489335,1
70,1736781528.0803962,1
71,1736781528.112968,1
72,1736781528.145538,1
73,1736781528.1781137,1
74,1736781528.209506,1
75,1736781528.242079,1
76,1736781528.2746897,1
77,1736781528.3073273,1
78,1736781528.3386836,1
79,1736781528.371307,1
80,1736781528.403946,1
81,1736781528.4354246,1
82,1736781528.4677763,1
83,1736781528.5002823,1
84,1736781528.5328238,1
85,1736781528.565399,1
86,1736781528.5978258,1
87,1736781528.629116,1
88,1736781528.6616142,1
89,1736781528.6939604,1
90,1736781528.726395,1
91,1736781528.7587469,1
92,1736781528.7899764,1
93,1736781528.807418,1
94,1736781528.8398306,1
95,1736781528.8712606,1
96,1736781528.9039066,1
97,1736781528.9362838,1
98,1736781528.968724,1
99,1736781529.0000737,1
100,1736781529.0323784,1
101,1736781529.0647666,1
102,1736781529.097144,1
103,1736781529.1295629,1
104,1736781529.1619897,1
105,1736781529.1943023,1
106,1736781529.2268748,1
107,1736781529.2582543,1
108,1736781529.2908182,1
